"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Josh Reddick","Astros","49","198","4","23","16","2","8.1 %","11.1 %",".113",".329",".311",".360",".424",".335","113","-0.9","2.3","-1.6","0.8","3892"
"Willy Adames","Rays","49","193","4","24","13","1","8.8 %","26.4 %",".132",".311",".236",".307",".368",".294","84","1.6","-2.2","2.9","0.7","15986"
"Ozzie Albies","Braves","56","248","7","32","24","4","7.7 %","17.7 %",".150",".299",".264",".323",".414",".312","90","1.0","-2.2","1.6","0.7","16556"
"Ramon Laureano","Athletics","56","217","6","30","18","4","5.1 %","27.6 %",".144",".328",".254",".300",".398",".299","87","1.7","-1.9","1.6","0.7","17128"
"Ryan McMahon","Rockies","40","146","6","23","21","1","13.0 %","25.3 %",".189",".321",".260",".356",".449",".347","99","1.8","1.7","0.9","0.7","15112"
"Adam Jones","Diamondbacks","54","229","11","28","35","1","5.2 %","15.7 %",".224",".291",".281",".329",".505",".348","114","-0.8","3.2","-3.5","0.7","6368"
"Lorenzo Cain","Brewers","53","246","4","34","24","5","6.5 %","15.9 %",".134",".299",".263",".317",".397",".307","87","-1.0","-5.2","4.3","0.7","9077"
"Charlie Blackmon","Rockies","46","219","10","35","31","2","6.4 %","18.3 %",".265",".331",".300",".356",".565",".383","123","-1.3","5.2","-5.4","0.7","7859"
"Nick Markakis","Braves","56","229","4","34","28","0","13.5 %","12.7 %",".144",".303",".278",".371",".423",".342","110","-0.5","2.3","-2.8","0.7","5930"
"Jarrod Dyson","Diamondbacks","43","141","3","25","12","12","12.8 %","19.1 %",".124",".326",".273",".369",".397",".336","105","2.1","3.0","-0.7","0.7","4866"
"Christian Walker","Diamondbacks","53","215","9","27","20","3","8.8 %","30.7 %",".227",".328",".247",".321",".474",".335","105","1.5","2.8","-3.0","0.7","13419"
"Jose Altuve","Astros","39","164","9","21","21","1","11.0 %","15.2 %",".229",".234",".243",".329",".472",".340","116","-1.4","1.9","-1.0","0.7","5417"
"Kolten Wong","Cardinals","54","206","6","21","25","7","11.2 %","15.5 %",".148",".229",".216",".320",".364",".296","83","3.4","-1.2","1.0","0.6","12532"
"Tim Beckham","Mariners","49","187","11","24","32","1","6.4 %","29.4 %",".264",".315",".259",".310",".523",".348","122","-1.5","3.7","-3.9","0.6","7949"
"Roberto Perez","Indians","39","139","7","13","18","0","12.9 %","29.5 %",".195",".268",".220",".326",".415",".321","95","-0.9","-1.7","3.1","0.6","2900"
"Eric Hosmer","Padres","55","229","9","30","33","0","6.6 %","20.5 %",".170",".344",".297",".345",".467",".344","115","-0.2","4.3","-5.6","0.6","3516"
"Jonathan Lucroy","Angels","45","173","7","23","24","0","8.7 %","13.9 %",".166",".270",".261",".329",".427",".326","106","-2.3","-1.0","1.0","0.6","7870"
