"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Hanser Alberto","Orioles","110","426","9","43","43","4","2.8 %","9.2 %",".121",".324",".310",".333",".431",".322","99","-0.2","-0.5","1.4","1.5","11902"
"Ryan Braun","Brewers","118","423","18","56","56","10","6.1 %","20.8 %",".212",".331",".288",".341",".500",".351","114","-0.2","7.7","-5.7","1.5","3410"
"Jason Heyward","Cubs","119","476","18","62","49","7","10.7 %","18.9 %",".183",".296",".264",".347",".448",".334","104","1.7","4.4","-4.3","1.5","4940"
"Shin-Soo Choo","Rangers","122","531","20","77","48","11","11.7 %","24.3 %",".200",".330",".267",".371",".467",".356","115","2.7","13.0","-16.2","1.5","3174"
"Dexter Fowler","Cardinals","117","428","15","47","52","7","11.4 %","24.3 %",".180",".303",".248",".347",".428",".331","104","2.3","4.8","-3.9","1.4","4062"
"David Dahl","Rockies","100","413","15","67","61","4","6.8 %","26.6 %",".222",".386",".302",".353",".524",".363","108","0.7","5.2","-4.2","1.4","13744"
"Marwin Gonzalez","Twins","105","426","14","47","47","1","7.0 %","21.1 %",".154",".308",".262",".324",".416",".315","93","0.6","-3.4","2.9","1.4","5497"
"Brian Dozier","Nationals","117","429","19","49","45","3","12.4 %","23.1 %",".205",".268",".235",".336",".439",".329","99","-0.8","-1.4","1.6","1.4","9810"
"Kevin Pillar","- - -","128","505","19","68","70","10","2.8 %","14.5 %",".192",".268",".259",".287",".451",".303","87","2.5","-6.2","3.7","1.4","12434"
"Cesar Hernandez","Phillies","126","515","8","56","54","7","6.0 %","14.2 %",".114",".317",".283",".332",".397",".310","89","1.6","-5.8","2.6","1.3","10556"
"Asdrubal Cabrera","- - -","105","415","14","52","65","4","10.8 %","21.7 %",".171",".285",".246",".330",".417",".317","89","-1.4","-7.1","5.8","1.3","4962"
"Eddie Rosario","Twins","108","463","27","74","85","3","3.9 %","13.8 %",".232",".274",".282",".307",".515",".336","107","0.3","4.7","-8.0","1.3","12155"
"Ryan McMahon","Rockies","110","418","17","57","66","5","10.8 %","28.2 %",".194",".349",".269",".347",".462",".342","94","0.4","-2.8","1.2","1.2","15112"
"Robbie Grossman","Athletics","109","398","6","48","34","8","13.1 %","17.3 %",".120",".300",".254",".352",".373",".317","99","0.0","-0.7","-1.2","1.2","5254"
"Jason Kipnis","Indians","105","447","13","43","58","7","8.3 %","16.8 %",".156",".278",".254",".314",".410",".305","84","0.6","-8.3","4.5","1.2","9776"
"Lorenzo Cain","Brewers","117","517","8","63","40","15","8.1 %","17.0 %",".105",".295",".254",".321",".359",".296","78","1.1","-14.0","7.6","1.0","9077"
"Yasiel Puig","- - -","119","484","24","60","72","16","6.2 %","22.1 %",".216",".287",".258",".312",".474",".327","98","-0.7","-2.0","-3.7","1.0","14225"
"Adam Frazier","Pirates","118","478","7","59","34","4","6.7 %","12.1 %",".124",".290",".264",".324",".388",".303","86","0.6","-8.4","2.6","1.0","15223"
"Jackie Bradley Jr.","Red Sox","116","461","16","55","50","7","9.5 %","25.8 %",".187",".276",".224",".317",".411",".309","86","1.3","-6.7","0.1","0.9","12984"
"Kyle Schwarber","Cubs","122","478","29","61","67","1","11.9 %","24.9 %",".259",".237",".225",".320",".484",".332","103","-1.7","0.1","-6.3","0.9","16478"
"Wilson Ramos","Mets","113","421","13","43","63","1","9.0 %","12.6 %",".132",".297",".282",".347",".413",".322","102","-4.6","-3.3","-1.0","0.9","1433"
"Jose Abreu","White Sox","127","549","28","65","98","2","4.7 %","21.9 %",".222",".306",".276",".315",".498",".334","109","-5.5","1.2","-11.2","0.9","15676"
"Alex Gordon","Royals","121","517","12","66","63","5","7.7 %","15.9 %",".142",".295",".265",".337",".407",".317","95","-1.8","-5.0","-4.5","0.8","5209"
"Randal Grichuk","Blue Jays","122","508","23","61","58","2","6.3 %","26.6 %",".206",".283",".238",".291",".444",".308","90","-2.0","-8.4","-1.1","0.8","10243"
"Todd Frazier","Mets","104","399","16","46","50","1","7.5 %","22.6 %",".180",".263",".230",".303",".410",".304","91","-0.7","-5.8","1.1","0.8","785"
"Renato Nunez","Orioles","123","496","28","64","73","0","7.9 %","23.4 %",".234",".265",".243",".313",".478",".329","104","0.5","3.2","-12.4","0.8","14503"
"Yolmer Sanchez","White Sox","118","430","2","47","31","5","7.2 %","21.6 %",".072",".327",".253",".314",".325",".280","73","1.7","-13.4","5.5","0.7","11602"
"Joey Votto","Reds","113","486","12","60","39","4","11.7 %","20.6 %",".149",".315",".262",".352",".410",".328","98","-1.9","-3.1","-7.0","0.6","4314"
"Justin Smoak","Blue Jays","103","429","19","48","53","0","16.6 %","20.5 %",".199",".228",".213",".352",".412",".331","106","-3.5","-0.1","-9.2","0.6","9054"
"Eric Hosmer","Padres","126","534","18","63","82","0","6.4 %","20.8 %",".162",".333",".285",".331",".447",".327","102","-3.7","-2.2","-9.6","0.6","3516"
"Nomar Mazara","Rangers","109","443","17","65","62","4","5.9 %","22.6 %",".197",".313",".268",".318",".466",".326","95","-0.3","-3.3","-7.6","0.5","14553"
"Colin Moran","Pirates","122","399","11","37","65","0","6.5 %","23.3 %",".155",".348",".283",".331",".438",".321","98","-1.0","-2.1","-6.7","0.4","16909"
"Matt Carpenter","Cardinals","98","401","11","48","33","6","13.0 %","26.2 %",".150",".269",".212",".323",".363",".300","84","0.1","-8.6","-0.5","0.4","8090"
"Mallex Smith","Mariners","107","469","5","57","33","36","7.0 %","25.6 %",".118",".316",".235",".302",".353",".284","79","7.7","-5.1","-8.2","0.3","13608"
"Domingo Santana","Mariners","115","496","21","63","69","8","9.9 %","32.1 %",".193",".350",".256",".332",".449",".330","110","0.8","7.1","-21.6","0.3","10348"
"Adam Jones","Diamondbacks","116","450","14","61","57","2","5.1 %","18.2 %",".161",".303",".269",".316",".430",".314","89","-1.7","-8.1","-4.7","0.2","6368"
"Franmil Reyes","- - -","120","428","29","49","53","0","7.7 %","28.3 %",".254",".261",".239",".294",".494",".323","99","-3.4","-3.8","-8.8","0.2","14566"
"Starlin Castro","Marlins","127","529","13","44","65","2","3.4 %","16.4 %",".129",".293",".264",".287",".394",".286","77","-2.5","-18.4","2.4","0.1","4579"
"C.J. Cron","Twins","99","411","20","42","66","0","6.1 %","20.0 %",".216",".280",".259",".319",".475",".330","103","-5.0","-3.5","-9.6","0.1","12546"
"Nick Markakis","Braves","104","416","9","57","55","2","10.3 %","12.7 %",".145",".307",".284",".358",".429",".336","104","-1.8","0.3","-12.7","0.1","5930"
"Jurickson Profar","Athletics","108","401","15","46","51","7","6.7 %","15.5 %",".178",".206",".205",".269",".383",".275","70","1.4","-14.1","0.1","0.0","10815"
"Brandon Crawford","Giants","117","450","9","48","49","3","8.9 %","22.0 %",".129",".278",".228",".300",".356",".281","73","-0.7","-17.0","2.3","0.0","5343"
"Josh Reddick","Astros","115","457","10","46","37","4","6.1 %","11.6 %",".115",".272",".260",".301",".375",".287","80","0.3","-11.5","-4.5","0.0","3892"
"Albert Pujols","Angels","102","423","19","44","76","1","7.3 %","12.8 %",".191",".244",".251",".307",".442",".313","97","-3.4","-5.1","-10.6","-0.1","1177"
"Orlando Arcia","Brewers","121","444","14","47","46","7","8.6 %","19.8 %",".137",".257",".229",".293",".367",".279","67","1.5","-18.2","2.6","-0.1","13185"
"Brandon Belt","Giants","123","497","14","63","49","3","14.3 %","20.1 %",".160",".262",".227",".340",".387",".315","94","-2.9","-6.5","-11.8","-0.2","10264"
"Joe Panik","- - -","116","435","3","43","30","4","8.7 %","9.9 %",".080",".264",".243",".314",".323",".279","71","-2.7","-19.3","2.9","-0.2","11936"
"Rougned Odor","Rangers","114","458","21","58","67","8","8.7 %","31.7 %",".211",".247",".199",".276",".410",".288","69","-0.2","-18.3","-0.2","-0.2","12282"
"Miguel Cabrera","Tigers","114","462","9","33","50","0","8.2 %","20.1 %",".108",".339",".281",".342",".388",".313","94","-5.3","-9.2","-11.4","-0.4","1744"
"Khris Davis","Athletics","106","424","18","49","55","0","8.3 %","26.9 %",".161",".260",".218",".288",".379",".283","76","-1.4","-14.6","-10.7","-1.0","9112"
