Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1977,Doug Rader,- - -,148,568,18,66,67,2,12.50%,18.80%,0.186,0.284,0.251,0.348,0.437,0.348,113,0,9.1,-0.8,2.8,1010638
2009,Orlando Hudson,Dodgers,149,631,9,74,62,8,9.80%,15.70%,0.134,0.328,0.283,0.357,0.417,0.341,109,2.1,8.8,-0.7,2.8,1307
1992,Darryl Hamilton,Brewers,128,528,5,67,62,41,8.50%,8.00%,0.102,0.314,0.298,0.356,0.4,0.343,114,2.7,11.1,-1.9,2.8,1005272
1976,Dan Ford,Twins,145,571,20,87,86,17,6.30%,20.70%,0.191,0.306,0.267,0.323,0.457,0.355,127,1,17.3,-9.9,2.8,1004216
1971,George Scott,Red Sox,146,590,24,72,78,0,6.90%,17.30%,0.179,0.28,0.263,0.317,0.441,0.34,107,-1,3.5,5.3,2.8,1011682
1997,Eric Young,- - -,155,718,8,106,61,45,9.90%,7.50%,0.117,0.293,0.28,0.359,0.397,0.339,86,3,-9.7,14.8,2.8,716
1930,Dick Porter,Indians,119,552,4,100,57,3,10.00%,5.60%,0.148,0.369,0.35,0.42,0.498,0.413,130,-0.9,22.4,-11.1,2.8,1010451
2004,Tony Womack,Cardinals,145,606,5,91,38,26,5.90%,9.90%,0.078,0.334,0.307,0.349,0.385,0.324,94,8.1,3.7,4.4,2.8,78
2002,Aaron Boone,Reds,162,685,26,83,87,32,8.20%,16.20%,0.198,0.254,0.241,0.314,0.439,0.326,94,5.8,0.4,5.1,2.8,311
1993,Dante Bichette,Rockies,141,581,21,93,89,14,4.80%,17.00%,0.216,0.343,0.31,0.348,0.526,0.378,117,-0.4,11.9,-4.7,2.8,1000946
1981,Jim Rice,Red Sox,108,495,17,51,62,2,6.90%,15.40%,0.157,0.304,0.284,0.333,0.441,0.349,118,-0.3,9,2,2.8,1010897
1990,Kevin Seitzer,Royals,158,697,6,91,38,7,9.60%,9.50%,0.095,0.299,0.275,0.346,0.37,0.327,104,-0.9,2.2,2.4,2.8,1011730
1981,Jose Cruz,Astros,107,451,13,53,55,5,7.80%,10.90%,0.159,0.271,0.267,0.319,0.425,0.334,116,-1.6,6.4,5.2,2.8,1002841
1995,Jeff Kent,Mets,125,514,20,65,65,3,5.60%,17.30%,0.186,0.302,0.278,0.327,0.464,0.343,108,-0.8,4.5,6.4,2.8,1119
1934,Lonny Frey,Dodgers,125,556,8,77,57,11,9.40%,9.70%,0.118,0.306,0.284,0.358,0.402,0.354,107,1.9,6.7,4,2.8,1004343
2010,Casey McGehee,Brewers,157,670,23,70,104,1,7.50%,15.20%,0.179,0.306,0.285,0.337,0.464,0.347,113,-1.4,9.2,-2.3,2.8,6086
1949,Andy Pafko,Cubs,144,592,18,79,69,4,10.60%,5.60%,0.168,0.274,0.281,0.369,0.449,0.381,120,0.7,15.5,-7,2.8,1009948
1950,Chico Carrasquel,White Sox,141,603,4,72,46,0,10.90%,7.60%,0.082,0.304,0.282,0.368,0.365,0.346,93,-1.1,-6.9,13.7,2.8,1001984
1983,Tim Wallach,Expos,156,647,19,54,70,0,8.50%,15.00%,0.165,0.291,0.269,0.335,0.434,0.34,114,-1.3,9.5,-4,2.8,1013554
1984,Brett Butler,Indians,159,709,3,108,49,52,12.10%,8.70%,0.086,0.293,0.269,0.361,0.355,0.33,103,1.7,3.9,0,2.8,1001772
1955,Jim Rivera,White Sox,147,530,10,71,52,25,11.70%,11.10%,0.137,0.284,0.264,0.352,0.401,0.339,102,-1.1,0.3,8.6,2.8,1011002
1996,Greg Vaughn,- - -,145,609,41,98,117,9,13.50%,21.30%,0.279,0.266,0.26,0.365,0.539,0.383,124,0.3,20.8,-12.9,2.8,1233
1902,Kitty Bransfield,Pirates,102,442,0,49,69,23,3.80%,,0.09,,0.305,0.336,0.395,0.347,120,1.8,12,-0.1,2.8,1001356
2015,Robinson Cano,Mariners,156,674,21,82,79,2,6.40%,15.90%,0.159,0.316,0.287,0.334,0.446,0.335,116,-8.3,4.2,-0.1,2.8,3269
2004,Rafael Furcal,Braves,143,632,14,103,59,29,9.20%,11.20%,0.135,0.296,0.279,0.344,0.414,0.33,97,9.2,6.7,0.5,2.8,88
1932,Pie Traynor,Pirates,135,556,2,74,68,6,5.80%,3.60%,0.103,0.34,0.329,0.373,0.433,0.367,118,1.1,13.7,-2.6,2.8,1013165
1908,Bill Hinchman,Naps,137,530,6,55,59,9,7.20%,,0.123,,0.231,0.301,0.353,0.323,113,-1.1,5.7,1.3,2.8,1005839
1979,Graig Nettles,Yankees,145,588,20,71,73,1,10.00%,9.00%,0.148,0.246,0.253,0.325,0.401,0.322,97,-0.4,-2.6,10.4,2.8,1009517
2013,Ryan Zimmerman,Nationals,147,633,26,84,79,6,9.50%,21.00%,0.19,0.316,0.275,0.344,0.465,0.353,124,0.8,18.3,-11.5,2.8,4220
1987,Bobby Bonilla,Pirates,141,515,15,58,77,3,7.60%,12.40%,0.18,0.316,0.3,0.351,0.481,0.357,117,-1.7,9.6,0.7,2.8,1001168
1933,Sam West,Browns,133,582,11,93,48,10,10.10%,8.40%,0.159,0.315,0.3,0.373,0.458,0.383,112,-1.4,8,-1.6,2.8,1013813
2007,Jack Cust,Athletics,124,507,26,61,82,0,20.70%,32.30%,0.248,0.355,0.256,0.408,0.504,0.397,145,-3.6,25.1,-14.2,2.8,1564
1999,Royce Clayton,Rangers,133,520,14,69,52,8,7.50%,19.20%,0.157,0.339,0.288,0.346,0.445,0.347,98,-1.1,-2.3,13.1,2.8,226
2016,Todd Frazier,White Sox,158,666,40,89,98,15,9.60%,24.50%,0.239,0.236,0.225,0.302,0.464,0.326,105,0.7,4.6,-0.5,2.8,785
1980,Rich Dauer,Orioles,152,618,2,71,63,3,7.40%,3.10%,0.068,0.288,0.284,0.338,0.352,0.315,95,-0.3,-3.8,10,2.8,1003006
2007,Khalil Greene,Padres,153,659,27,89,97,4,4.90%,19.40%,0.214,0.274,0.254,0.291,0.468,0.321,98,2.3,0.2,6.4,2.8,1826
1985,Pete O'Brien,Rangers,159,655,22,69,92,5,10.50%,8.10%,0.185,0.258,0.267,0.342,0.452,0.349,114,-3.2,7.7,-2.2,2.8,1009700
2008,Yunel Escobar,Braves,136,587,10,71,60,2,10.10%,10.60%,0.113,0.311,0.288,0.366,0.401,0.341,106,-4.2,0.2,8.8,2.8,4191
1910,Harry Lord,- - -,121,507,1,51,42,34,5.50%,,0.066,,0.267,0.315,0.333,0.318,102,3.2,4.4,5.6,2.8,1007761
2013,Elvis Andrus,Rangers,156,698,4,91,67,42,7.40%,13.90%,0.06,0.312,0.271,0.328,0.331,0.296,78,10.9,-6.4,9.4,2.8,8709
1912,John Titus,- - -,141,609,5,99,70,11,13.50%,5.60%,0.137,0.324,0.309,0.416,0.446,0.414,130,-3.1,21.1,-14.8,2.8,1013085
1926,Edd Roush,Reds,144,631,7,95,79,8,6.00%,2.70%,0.139,0.325,0.323,0.366,0.462,0.382,124,1.3,20.4,-11.6,2.8,1011247
1952,Jackie Jensen,- - -,151,664,10,83,82,18,10.10%,6.60%,0.122,0.29,0.28,0.357,0.402,0.354,113,2,12,-6.8,2.8,1006398
1949,Eddie Robinson,Senators,143,603,18,66,78,3,11.10%,5.00%,0.165,0.286,0.294,0.381,0.459,0.391,121,-1.2,15.4,-8.2,2.8,1011063
1967,Max Alvis,Indians,161,697,21,66,70,3,5.50%,15.40%,0.148,0.278,0.256,0.301,0.403,0.318,109,-2.6,4.3,1,2.8,1000201
2013,Alexei Ramirez,White Sox,158,674,6,68,48,30,3.90%,10.10%,0.096,0.309,0.284,0.313,0.38,0.304,88,3.2,-5.9,9.6,2.8,5133
1966,Matty Alou,Pirates,141,578,2,86,27,23,4.20%,7.60%,0.079,0.368,0.342,0.373,0.421,0.349,120,-0.6,13,-8,2.8,1000179
2013,Ian Kinsler,Rangers,136,614,13,85,72,15,8.30%,9.60%,0.136,0.288,0.277,0.344,0.413,0.334,104,1.9,5,0.7,2.8,6195
1999,Miguel Tejada,Athletics,159,674,21,93,84,8,8.50%,13.90%,0.175,0.265,0.251,0.325,0.427,0.328,92,-1.6,-9.2,14.4,2.8,941
1953,George Strickland,Indians,123,482,5,43,47,0,10.60%,10.80%,0.095,0.315,0.284,0.362,0.379,0.344,106,0.5,3.9,7.5,2.8,1012615
1930,Ossie Bluege,Senators,134,562,3,64,69,15,9.10%,7.10%,0.105,0.312,0.29,0.368,0.395,0.352,98,-1,-2.9,11.5,2.8,1001090
1934,Danny Taylor,Dodgers,120,476,7,62,57,12,13.20%,9.90%,0.141,0.325,0.299,0.396,0.44,0.387,128,2.2,19.2,-6.1,2.8,1012865
1930,Jimmie Dykes,Athletics,125,535,6,69,73,3,13.80%,9.90%,0.124,0.332,0.301,0.414,0.425,0.389,117,-0.9,12.1,-0.8,2.8,1003617
1973,Dave Roberts,Padres,127,503,21,56,64,11,3.40%,16.50%,0.186,0.307,0.286,0.31,0.472,0.347,118,1.6,12.1,-2.1,2.8,1011032
1953,Bobby Avila,Indians,141,633,8,85,55,10,9.20%,4.30%,0.093,0.29,0.286,0.355,0.379,0.34,103,-0.7,1.9,4.3,2.8,1000380
1999,Jose Offerman,Red Sox,149,693,8,107,69,18,13.90%,11.40%,0.142,0.324,0.294,0.391,0.435,0.366,113,-1.8,10,-4.8,2.8,205
1907,Spike Shannon,Giants,155,685,1,104,33,33,12.00%,,0.043,,0.265,0.363,0.308,0.338,112,1.1,9.6,-7.7,2.8,1011800
1996,Fred McGriff,Braves,159,691,28,81,107,7,9.80%,16.80%,0.199,0.323,0.295,0.365,0.494,0.367,123,-0.1,19.6,-11.6,2.8,293
1984,Mickey Hatcher,Twins,152,624,5,61,69,0,5.90%,5.40%,0.104,0.31,0.302,0.342,0.406,0.334,102,-0.5,0.7,6.7,2.8,1005488
1984,Tony Armas,Red Sox,157,679,43,107,123,1,4.70%,23.00%,0.263,0.286,0.268,0.3,0.531,0.359,119,-1,13.7,-9.4,2.8,1000305
1978,Larry Parrish,Expos,144,560,15,68,70,2,5.70%,18.40%,0.177,0.32,0.277,0.321,0.454,0.342,115,-0.7,8.7,-1.6,2.8,1010020
2013,Pedro Alvarez,Pirates,152,614,36,70,100,2,7.80%,30.30%,0.24,0.276,0.233,0.296,0.473,0.33,112,-0.5,8.1,-0.9,2.8,2495
1945,Johnny Hopp,Cardinals,124,505,3,67,44,14,9.70%,4.80%,0.105,0.301,0.289,0.363,0.395,0.362,110,2.5,8.7,1.5,2.8,1006022
1911,Ping Bodie,White Sox,145,618,4,75,97,14,7.90%,,0.118,,0.289,0.348,0.407,0.36,111,-1.6,7,-1.7,2.8,1001112
1977,Ivan DeJesus,Cubs,155,695,3,91,40,24,8.10%,12.90%,0.087,0.305,0.266,0.328,0.353,0.307,75,0.5,-20.3,25.2,2.8,1003150
1970,Willie Stargell,Pirates,136,529,31,70,85,0,8.30%,22.50%,0.247,0.285,0.264,0.329,0.511,0.362,119,-0.3,12.3,-3.8,2.8,1012426
1925,Bill Terry,Giants,133,536,11,75,70,4,7.80%,9.70%,0.155,0.34,0.319,0.374,0.474,0.386,118,-0.2,12.9,-2.4,2.8,1012927
1984,Gary Matthews,Cubs,147,608,14,101,82,17,16.90%,16.00%,0.136,0.331,0.291,0.41,0.428,0.381,135,0.2,24.2,-18.8,2.8,1008255
1927,Max Bishop,Athletics,117,489,0,80,22,8,21.50%,5.70%,0.046,0.299,0.277,0.442,0.323,0.384,112,-1.5,6.3,4.3,2.8,1000994
1929,Rube Bressler,Robins,136,539,9,72,77,4,12.40%,5.00%,0.143,0.324,0.318,0.406,0.461,0.398,118,0.5,14.4,-3.3,2.8,1001398
1970,Ken McMullen,- - -,139,552,14,55,64,1,11.60%,16.50%,0.123,0.253,0.229,0.321,0.351,0.303,90,0.4,-6.2,16.3,2.8,1008650
1971,Bert Campaneris,Athletics,134,609,5,80,47,34,4.80%,10.50%,0.072,0.273,0.251,0.287,0.323,0.279,78,4.4,-10.4,18,2.8,1001868
1926,Harry Rice,Browns,148,655,9,86,59,10,9.60%,6.10%,0.128,0.325,0.313,0.384,0.441,0.386,109,-3,5.2,-1.4,2.8,1010895
1950,Ferris Fain,Athletics,151,658,10,83,83,8,20.20%,4.00%,0.121,0.282,0.282,0.43,0.402,0.396,119,-0.9,16.2,-11.3,2.8,1003902
1908,Bob Unglaub,- - -,144,574,1,46,54,14,2.60%,,0.074,,0.286,0.308,0.36,0.323,114,-0.7,7.2,-2.1,2.8,1013283
1911,Roy Hartzell,Highlanders,144,616,3,67,91,22,10.20%,,0.091,,0.296,0.375,0.387,0.37,109,-0.7,6.2,-1,2.8,1005468
1936,Pepper Martin,Cardinals,143,634,11,121,76,23,9.10%,10.40%,0.159,0.335,0.309,0.373,0.469,0.384,122,4.3,22,-13.1,2.8,1008189
2016,Logan Forsythe,Rays,127,567,20,76,52,6,8.10%,22.40%,0.18,0.314,0.264,0.333,0.444,0.336,113,0.2,9,-1.6,2.8,7185
1979,Al Bumbry,Orioles,148,621,7,80,49,37,6.90%,11.90%,0.091,0.315,0.285,0.336,0.376,0.321,98,2.7,1.2,5.3,2.8,1001649
1964,Lee Maye,Braves,153,627,10,96,74,5,5.40%,8.60%,0.143,0.322,0.304,0.346,0.447,0.35,125,-2.6,15.2,-12.3,2.8,1008294
1926,Eddie Brown,Braves,153,650,2,71,84,5,3.50%,3.10%,0.087,0.337,0.328,0.355,0.415,0.358,111,0.7,9.1,-1.1,2.8,1001514
1981,Pedro Guerrero,Dodgers,98,387,12,46,48,5,8.80%,14.70%,0.164,0.33,0.3,0.365,0.464,0.375,140,-2.3,14.5,-2,2.7,1005120
1907,Bobby Byrne,Cardinals,149,624,0,55,29,21,5.60%,,0.038,,0.256,0.307,0.293,0.298,89,0.1,-6.8,11.6,2.7,1001797
1933,Rick Ferrell,- - -,140,580,4,58,77,4,12.10%,4.00%,0.083,0.298,0.29,0.381,0.373,0.358,102,-0.2,1.1,5.2,2.7,1004007
2005,Johnny Damon,Red Sox,148,688,10,117,75,18,7.70%,10.00%,0.123,0.338,0.316,0.366,0.439,0.35,111,8.5,17.9,-13.7,2.7,185
1980,John Wathan,Royals,126,510,6,57,58,17,9.80%,8.20%,0.102,0.325,0.305,0.377,0.406,0.353,116,2.1,11.6,-2.7,2.7,1013666
1974,Manny Sanguillen,Pirates,151,632,7,77,68,2,3.30%,4.30%,0.084,0.288,0.287,0.313,0.371,0.307,90,-0.2,-7.1,13,2.7,1011434
2011,Paul Konerko,White Sox,149,639,31,69,105,1,12.10%,13.90%,0.217,0.304,0.3,0.388,0.517,0.384,139,-10.7,18.6,-13.9,2.7,242
2003,Julio Lugo,- - -,139,556,15,64,55,12,7.90%,18.00%,0.139,0.311,0.271,0.333,0.41,0.326,97,3.1,1,7.8,2.7,565
1900,Dan McGann,Cardinals,121,507,4,79,58,26,6.30%,,0.09,,0.297,0.376,0.387,0.37,111,0.6,9,1.3,2.7,1008501
1995,Jeff King,Pirates,122,509,18,61,87,7,10.80%,12.40%,0.191,0.269,0.265,0.342,0.456,0.346,105,-0.5,2.8,7.8,2.7,1006931
1968,Alex Johnson,Reds,149,634,2,79,58,16,4.10%,11.20%,0.083,0.35,0.312,0.342,0.395,0.333,115,1.2,10.7,-8.7,2.7,1006418
2016,Didi Gregorius,Yankees,153,597,20,68,70,7,3.20%,13.70%,0.171,0.29,0.276,0.304,0.447,0.319,97,3.6,1.6,4.6,2.7,6012
1939,Eric McNair,White Sox,129,528,7,62,82,17,7.20%,7.80%,0.102,0.343,0.324,0.375,0.426,0.37,105,-0.8,2.9,6,2.7,1008654
1954,Ralph Kiner,Cubs,147,643,22,88,73,2,11.80%,14.00%,0.201,0.306,0.285,0.371,0.487,0.388,120,0.9,17.5,-11.3,2.7,1006923
2012,Paul Goldschmidt,Diamondbacks,145,587,20,82,82,18,10.20%,22.10%,0.204,0.34,0.286,0.359,0.49,0.363,124,4.9,21.9,-13.4,2.7,9218
1994,Mark Whiten,Cardinals,92,374,14,57,53,10,9.90%,20.10%,0.192,0.34,0.293,0.364,0.485,0.361,118,-0.2,8.5,7,2.7,1013886
1919,Zack Wheat,Robins,137,581,5,70,62,15,5.70%,4.60%,0.112,0.306,0.297,0.344,0.409,0.357,124,0,13.9,-5.8,2.7,1013828
1980,Butch Wynegar,Twins,146,564,5,61,57,3,11.20%,6.40%,0.08,0.264,0.255,0.339,0.335,0.308,84,0.1,-10.3,18.2,2.7,1014308
1915,Red Killefer,Reds,155,634,1,75,41,12,6.00%,5.20%,0.09,0.288,0.272,0.34,0.362,0.342,112,-4.5,3.3,0.2,2.7,1006907
1932,Mule Haas,Athletics,143,649,6,91,65,1,9.60%,7.60%,0.1,0.326,0.305,0.376,0.405,0.361,104,0.1,3.4,1.4,2.7,1005173
2004,Michael Young,Rangers,160,739,22,114,99,12,6.00%,12.00%,0.17,0.333,0.313,0.353,0.483,0.359,110,5.3,14.6,-11.6,2.7,1286
1943,Mickey Vernon,Senators,145,638,7,89,70,24,10.50%,8.60%,0.119,0.287,0.268,0.357,0.387,0.359,121,1.6,16,-12.2,2.7,1013416
2003,Edgar Martinez,Mariners,145,603,24,72,98,0,15.30%,15.80%,0.195,0.317,0.294,0.406,0.489,0.387,142,-9.9,22.1,-15,2.7,1086
1918,Al Wickland,Braves,95,399,4,55,32,12,13.30%,9.80%,0.136,0.287,0.262,0.367,0.398,0.375,138,0,15.3,-3.7,2.7,1013920
1973,Don Money,Brewers,145,627,11,75,61,22,8.50%,8.50%,0.117,0.296,0.284,0.347,0.401,0.34,112,2.8,11.1,-6.9,2.7,1009052
2004,Jose Guillen,Angels,148,621,27,88,104,5,6.00%,14.80%,0.204,0.31,0.294,0.352,0.497,0.362,122,-2.6,14.8,-7.8,2.7,57
2005,Kevin Mench,Rangers,150,615,25,71,73,4,8.10%,11.10%,0.205,0.261,0.264,0.328,0.469,0.342,105,3.4,6.9,-0.3,2.7,1261
1983,Rudy Law,White Sox,141,551,3,95,34,77,7.60%,6.50%,0.086,0.3,0.283,0.34,0.369,0.32,95,10.6,7.5,0.7,2.7,1007402
1964,Deron Johnson,Reds,140,519,21,63,79,4,7.10%,18.90%,0.199,0.303,0.273,0.326,0.472,0.352,121,-0.2,12.1,-4.4,2.7,1006444
2009,Victor Martinez,- - -,155,672,23,88,108,1,11.20%,11.00%,0.177,0.312,0.303,0.381,0.48,0.375,126,-2.1,19.6,-15.9,2.7,393
1969,Johnny Callison,Phillies,134,552,16,66,64,2,8.90%,13.20%,0.176,0.28,0.265,0.332,0.44,0.342,112,0.2,8,-0.9,2.7,1001851
2005,Lance Berkman,Astros,132,565,24,76,82,4,16.10%,12.70%,0.231,0.302,0.293,0.411,0.524,0.399,144,-7.4,23.7,-14.7,2.7,548
1982,Gene Richards,Padres,132,562,3,63,28,30,6.40%,9.30%,0.073,0.312,0.286,0.333,0.359,0.314,101,-1.9,-1.2,9.3,2.7,1010907
1923,Frank Brower,Indians,126,476,16,77,66,6,13.00%,6.70%,0.224,0.278,0.285,0.392,0.509,0.413,132,0.2,20.5,-8,2.7,1001489
1912,Sherry Magee,Phillies,132,555,6,79,66,30,9.90%,9.70%,0.131,0.337,0.306,0.388,0.438,0.395,121,1.6,17.2,-9.3,2.7,1007965
2014,Brandon Crawford,Giants,153,564,10,54,69,5,10.50%,22.90%,0.143,0.307,0.246,0.324,0.389,0.309,101,1.9,2.2,5.7,2.7,5343
1928,Woody English,Cubs,116,522,2,68,34,4,5.70%,5.40%,0.076,0.315,0.299,0.343,0.375,0.335,88,0.5,-8,19.1,2.7,1003785
1991,Kent Hrbek,Twins,132,534,20,72,89,4,12.50%,9.00%,0.177,0.28,0.284,0.373,0.461,0.373,127,-0.8,16.5,-7.4,2.7,1006117
2008,Brandon Phillips,Reds,141,609,21,80,78,23,6.40%,15.30%,0.181,0.277,0.261,0.312,0.442,0.324,90,1.1,-6.2,14.3,2.7,791
1937,Billy Rogell,Tigers,146,632,8,85,64,5,13.10%,7.60%,0.127,0.292,0.276,0.376,0.403,0.365,98,-1.6,-3.7,9,2.7,1011128
1978,Richie Hebner,Phillies,137,505,17,61,71,4,10.50%,11.50%,0.182,0.291,0.283,0.369,0.464,0.366,128,-1.8,13.9,-4.8,2.7,1005571
1983,Bill Sample,Rangers,147,611,12,80,57,44,7.20%,7.50%,0.126,0.28,0.274,0.331,0.401,0.328,103,5.5,7.7,-1.3,2.7,1011396
1935,Pinky Higgins,Athletics,133,573,23,69,94,6,7.30%,10.80%,0.208,0.301,0.296,0.35,0.504,0.383,116,0.1,12.8,-3.6,2.7,1005793
1909,Al Burch,Superbas,152,661,1,80,30,38,7.70%,,0.058,,0.271,0.329,0.329,0.325,106,2.6,7.1,-5,2.7,1001656
1901,Jake Beckley,Reds,140,635,3,78,79,4,4.40%,,0.122,,0.307,0.346,0.429,0.362,118,-3.3,12,-6.3,2.7,1000754
1919,Nemo Leibold,White Sox,122,521,0,81,26,17,13.80%,5.80%,0.051,0.324,0.302,0.404,0.353,0.37,118,-0.1,10.6,-4,2.7,1007491
2014,Albert Pujols,Angels,159,695,28,89,105,5,6.90%,10.20%,0.194,0.265,0.272,0.324,0.466,0.34,123,-7.2,10.4,-7.3,2.7,1177
1964,Bob Aspromonte,Colt .45's,157,608,12,51,69,6,5.80%,8.90%,0.112,0.29,0.28,0.329,0.392,0.318,107,-1.2,3.4,0.7,2.7,1000341
1974,Larry Hisle,Twins,143,576,19,68,79,12,8.30%,19.40%,0.178,0.33,0.286,0.353,0.465,0.369,131,0.2,19.8,-13.5,2.7,1005858
1946,Johnny Wyrostek,Phillies,145,628,6,73,45,7,11.10%,6.70%,0.103,0.296,0.281,0.366,0.383,0.358,116,1,11.8,-5.1,2.7,1014314
1992,Leo Gomez,Orioles,137,552,17,62,64,2,11.40%,14.10%,0.16,0.281,0.265,0.356,0.425,0.353,120,-0.9,11.3,-3.7,2.7,1004822
1987,Terry Pendleton,Cardinals,159,667,12,82,96,19,10.50%,11.10%,0.125,0.306,0.286,0.36,0.412,0.339,106,-1.6,3.8,0.9,2.7,1010157
1939,Ben Chapman,Indians,149,654,6,101,82,18,13.30%,4.60%,0.123,0.299,0.29,0.39,0.413,0.376,110,0.7,9.5,-5.2,2.7,1002141
2014,Desmond Jennings,Rays,123,542,10,64,36,15,8.70%,19.90%,0.134,0.296,0.244,0.319,0.378,0.313,103,3.6,5,2.8,2.7,1965
1902,Charlie Irwin,Superbas,131,520,2,59,43,13,7.50%,,0.044,,0.273,0.346,0.317,0.327,107,-1.2,2.7,6.1,2.7,1006278
2018,Corey Dickerson,Pirates,135,533,13,65,55,8,3.90%,15.00%,0.175,0.333,0.3,0.33,0.474,0.341,115,-3.1,6.7,3,2.7,10762
1903,John Ganzel,Highlanders,129,533,3,62,71,9,5.60%,,0.101,,0.277,0.336,0.378,0.34,106,-1.8,2,7,2.7,1004486
1939,Stan Hack,Cubs,156,723,8,112,56,17,9.00%,4.80%,0.1,0.306,0.298,0.364,0.398,0.356,106,3.1,8.9,-3.1,2.7,1005183
1938,Rick Ferrell,Senators,135,495,1,55,58,1,15.20%,3.40%,0.09,0.303,0.292,0.401,0.382,0.373,106,0,4.3,5,2.7,1004007
2009,Bobby Abreu,Angels,152,667,15,96,103,30,14.10%,16.90%,0.142,0.338,0.293,0.39,0.435,0.363,120,3,19.6,-15.8,2.7,945
2001,Robin Ventura,Mets,142,549,21,70,61,2,16.00%,18.40%,0.182,0.257,0.237,0.359,0.419,0.337,105,-1.8,1.9,8,2.7,854
1990,Gregg Jefferies,Mets,153,659,15,96,68,11,7.00%,6.10%,0.151,0.282,0.283,0.337,0.434,0.345,116,1.1,13.8,-11.3,2.7,1006379
1976,Frank Taveras,Pirates,144,573,0,76,24,58,7.70%,13.80%,0.039,0.305,0.258,0.321,0.297,0.293,80,7.3,-5.3,12.1,2.7,1012852
1994,Jeff Kent,Mets,107,452,14,53,68,1,5.10%,18.60%,0.183,0.334,0.292,0.341,0.475,0.352,114,-1.6,6.6,6.3,2.7,1119
2009,Russell Branyan,Mariners,116,505,31,64,76,2,11.50%,29.50%,0.269,0.3,0.251,0.347,0.52,0.368,126,0.3,16.7,-7.2,2.7,370
1950,Wally Westlake,Pirates,139,534,24,69,95,1,9.00%,14.60%,0.208,0.299,0.285,0.359,0.493,0.384,116,0,11.1,-0.1,2.7,1013807
1970,Vada Pinson,Indians,148,611,24,74,82,7,4.60%,11.30%,0.195,0.287,0.286,0.319,0.481,0.348,111,-0.8,7,0.8,2.7,1010360
1990,Alvin Davis,Mariners,140,592,17,63,68,0,14.40%,11.50%,0.146,0.294,0.283,0.387,0.429,0.365,127,-1.1,16.9,-9.5,2.7,1003033
1921,Billy Southworth,Braves,141,642,7,86,79,22,5.60%,2.00%,0.134,0.306,0.308,0.351,0.441,0.362,110,-2.5,5.7,-0.1,2.7,1012291
1941,Cookie Lavagetto,Dodgers,132,523,1,75,78,7,15.30%,4.00%,0.093,0.289,0.277,0.388,0.37,0.363,116,1.1,11.1,0,2.7,1007386
1952,Davey Williams,Giants,138,605,13,70,55,2,7.90%,10.40%,0.131,0.267,0.254,0.324,0.385,0.331,96,-0.2,-3.2,9.3,2.7,1013984
1951,Randy Jackson,Cubs,145,609,16,78,76,14,7.70%,7.20%,0.151,0.276,0.275,0.332,0.425,0.348,100,2,1.7,4.8,2.7,1006307
1919,Max Flack,Cubs,116,517,6,71,35,18,6.60%,2.50%,0.098,0.293,0.294,0.346,0.392,0.352,121,0.8,11.8,-1.7,2.7,1004124
2001,Richard Hidalgo,Astros,146,593,19,70,80,3,9.10%,18.00%,0.18,0.307,0.275,0.356,0.455,0.349,106,-1.6,2.8,5.6,2.7,561
1990,John Kruk,Phillies,142,515,7,52,67,10,13.40%,13.60%,0.14,0.332,0.291,0.386,0.431,0.36,122,-0.2,13.3,-5.2,2.7,1007184
1918,Del Pratt,Yankees,126,537,2,65,55,12,6.50%,4.80%,0.082,0.287,0.275,0.327,0.356,0.334,103,-0.4,1.4,6,2.7,1010512
1977,Dave Concepcion,Reds,156,630,8,59,64,29,7.30%,12.20%,0.098,0.298,0.271,0.322,0.369,0.307,84,3.4,-8.8,15.2,2.7,1002494
1977,Leroy Stanton,Mariners,133,505,27,56,90,0,8.30%,22.80%,0.236,0.311,0.275,0.341,0.511,0.371,129,-0.1,17.2,-7.7,2.7,1012420
1977,Chris Chambliss,Yankees,157,653,17,90,90,4,6.90%,11.20%,0.158,0.301,0.287,0.336,0.445,0.342,114,1.3,12,-7.3,2.7,1002119
1977,Bucky Dent,Yankees,158,540,8,54,49,1,7.20%,5.20%,0.105,0.244,0.247,0.3,0.352,0.293,80,0.2,-12.3,21,2.7,1003212
1902,Homer Smoot,Cardinals,129,566,3,58,48,20,4.10%,,0.069,,0.311,0.35,0.38,0.351,125,0,16.1,-9.2,2.7,1012220
1907,John Titus,Phillies,145,590,3,72,63,9,8.00%,,0.107,,0.275,0.345,0.382,0.358,125,-2.1,13.2,-9,2.7,1013085
1981,Jack Clark,Giants,99,437,17,60,53,1,10.30%,10.30%,0.192,0.261,0.268,0.341,0.46,0.358,128,-0.2,13.3,-2.5,2.7,1002288
1962,Earl Battey,Twins,148,591,11,58,57,0,9.60%,8.10%,0.113,0.289,0.28,0.348,0.393,0.333,99,0.1,-1,10.5,2.7,1000670
2002,Trot Nixon,Red Sox,152,612,24,81,94,4,10.60%,17.80%,0.214,0.276,0.256,0.338,0.47,0.349,111,0.3,8.5,-2.2,2.7,204
1976,Greg Luzinski,Phillies,149,605,21,74,95,1,8.30%,17.70%,0.174,0.339,0.304,0.369,0.478,0.386,138,-0.7,25,-21.2,2.7,1007855
