Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2018,Mike Trout,Angels,140,608,39,101,79,24,20.10%,20.40%,0.316,0.346,0.312,0.46,0.628,0.447,191,5,71.1,4.2,9.8,10155
1982,Robin Yount,Brewers,156,704,29,129,114,14,7.70%,8.90%,0.247,0.327,0.331,0.379,0.578,0.415,164,1.6,54.7,16.2,9.8,1014396
1915,Ty Cobb,Tigers,156,700,3,144,99,96,16.90%,6.10%,0.117,0.397,0.369,0.486,0.487,0.467,184,4.8,69.1,-6.9,9.8,1002378
1955,Mickey Mantle,Yankees,147,638,37,121,99,8,17.70%,15.20%,0.306,0.313,0.306,0.431,0.611,0.451,179,1.8,64.3,9.2,9.8,1008082
1920,Rogers Hornsby,Cardinals,149,660,9,96,94,12,9.10%,7.60%,0.188,0.394,0.37,0.431,0.559,0.455,187,-1.3,61.9,10.6,9.8,1006030
1984,Cal Ripken,Orioles,162,716,27,103,86,2,9.90%,12.40%,0.206,0.319,0.304,0.374,0.51,0.393,146,-0.1,38.9,31.9,9.8,1010978
1941,Joe DiMaggio,Yankees,139,621,30,122,125,4,12.20%,2.10%,0.287,0.327,0.357,0.44,0.643,0.486,181,-0.3,66.2,7.1,9.8,1003311
1957,Ted Williams,Red Sox,132,546,38,96,87,0,21.80%,7.90%,0.343,0.367,0.388,0.526,0.731,0.524,223,0.1,79,-3.4,9.7,1014040
1996,Ken Griffey Jr.,Mariners,140,638,49,125,140,16,12.20%,16.30%,0.325,0.291,0.303,0.392,0.628,0.423,146,2.6,43.4,33.5,9.7,327
1985,Rickey Henderson,Yankees,143,654,24,146,72,80,15.10%,9.90%,0.201,0.32,0.314,0.419,0.516,0.413,159,11.7,58.3,13.8,9.7,194
1958,Willie Mays,Giants,152,685,29,121,96,31,11.40%,8.20%,0.237,0.344,0.347,0.419,0.583,0.431,162,4.3,57.4,14.1,9.7,1008315
1959,Ernie Banks,Cubs,155,671,45,97,143,2,9.50%,10.70%,0.292,0.279,0.304,0.374,0.596,0.409,147,-1,38.9,32.4,9.7,1000512
1909,Ty Cobb,Tigers,156,651,9,116,107,76,7.40%,,0.14,,0.377,0.431,0.517,0.458,188,9.4,67.3,-3.7,9.7,1002378
1910,Eddie Collins,Athletics,153,658,3,81,81,81,7.40%,,0.095,,0.324,0.382,0.418,0.389,152,10.6,45.2,24,9.7,1002451
2016,Mike Trout,Angels,159,681,29,123,100,30,17.00%,20.10%,0.235,0.371,0.315,0.441,0.55,0.418,170,9.6,67,4.3,9.7,10155
1909,Honus Wagner,Pirates,137,591,5,92,100,35,11.20%,,0.149,,0.339,0.42,0.489,0.44,174,2.1,48.2,15.3,9.7,1013485
1927,Frankie Frisch,Cardinals,153,693,10,112,78,48,6.20%,1.40%,0.135,0.332,0.337,0.387,0.472,0.396,129,9.1,34.1,41.8,9.7,1004364
1973,Darrell Evans,Braves,161,733,41,114,104,6,16.90%,14.20%,0.276,0.275,0.281,0.403,0.556,0.421,158,0.4,49.4,19.6,9.7,1003864
1928,Lou Gehrig,Yankees,154,677,27,139,142,4,14.00%,10.20%,0.274,0.393,0.374,0.467,0.648,0.496,192,-4.3,76.3,-2.7,9.7,1004598
2004,Adrian Beltre,Dodgers,156,657,48,104,121,7,8.10%,13.20%,0.294,0.325,0.334,0.388,0.629,0.423,161,-2.2,49.5,27.8,9.7,639
1936,Lou Gehrig,Yankees,155,719,49,167,152,3,18.10%,6.40%,0.342,0.322,0.354,0.478,0.696,0.512,178,-1.7,84.4,-6.7,9.7,1004598
1969,Rico Petrocelli,Red Sox,154,643,40,92,97,3,15.20%,10.60%,0.292,0.275,0.297,0.403,0.589,0.433,163,-1,46,25.2,9.6,1010245
1935,Arky Vaughan,Pirates,137,610,19,108,99,4,15.90%,3.00%,0.222,0.374,0.385,0.491,0.607,0.493,194,0.5,73.8,5.5,9.6,1013377
1906,Honus Wagner,Pirates,142,590,2,103,71,53,9.80%,,0.12,,0.339,0.416,0.459,0.424,166,5.5,46.7,18.4,9.6,1013485
1930,Lou Gehrig,Yankees,154,703,41,143,174,12,14.40%,9.00%,0.343,0.375,0.379,0.473,0.721,0.507,198,-4.6,93.9,-10.7,9.6,1004598
2007,Alex Rodriguez,Yankees,158,708,54,143,156,24,13.40%,16.90%,0.331,0.309,0.314,0.422,0.645,0.445,175,7.7,74.2,-0.5,9.6,1274
1949,Jackie Robinson,Dodgers,156,704,16,122,124,37,12.20%,3.80%,0.185,0.34,0.342,0.432,0.528,0.442,156,7.2,56.1,16.7,9.6,1011070
