"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Franmil Reyes","- - -","150","548","37","69","81","0","8.6 %","28.5 %",".263",".279",".249",".310",".512",".338","109","-3.2","3.1","-12.1","0.9","14566"
"Joey Votto","Reds","142","608","15","79","47","5","12.5 %","20.2 %",".150",".313",".261",".357",".411",".332","101","-3.6","-2.9","-9.4","0.7","4314"
"Ryan McMahon","Rockies","141","539","24","70","83","5","10.4 %","29.7 %",".200",".323",".250",".329",".450",".330","88","0.2","-8.6","-1.5","0.7","15112"
"Renato Nunez","Orioles","151","599","31","72","90","1","7.3 %","23.9 %",".216",".272",".244",".311",".460",".323","99","0.3","-0.6","-14.5","0.6","14503"
"Randal Grichuk","Blue Jays","151","628","31","75","80","2","5.6 %","26.0 %",".225",".266",".232",".280",".457",".307","90","-3.7","-11.9","-4.4","0.6","10243"
"Brandon Belt","Giants","156","616","17","76","57","4","13.5 %","20.6 %",".169",".275",".234",".339",".403",".319","99","-1.5","-2.3","-13.2","0.4","10264"
"Vladimir Guerrero Jr.","Blue Jays","123","514","15","52","69","0","8.9 %","17.7 %",".162",".308",".272",".339",".433",".329","105","-6.6","-3.4","-10.9","0.4","19611"
"Brandon Crawford","Giants","147","560","11","58","59","3","9.5 %","20.9 %",".122",".274",".228",".304",".350",".281","74","-0.9","-20.1","5.6","0.4","5343"
"Rougned Odor","Rangers","145","581","30","77","93","11","9.0 %","30.6 %",".234",".244",".205",".283",".439",".302","77","1.9","-15.1","-1.8","0.3","12282"
"Colin Moran","Pirates","149","503","13","46","80","0","6.0 %","23.3 %",".152",".341",".277",".322",".429",".315","94","-3.5","-7.4","-7.9","0.1","16909"
"Domingo Santana","Mariners","121","507","21","63","69","8","9.9 %","32.3 %",".188",".347",".253",".329",".441",".326","107","0.5","4.8","-22.4","0.0","10348"
"Mallex Smith","Mariners","134","566","6","70","37","46","7.4 %","24.9 %",".108",".302",".227",".300",".335",".278","74","8.4","-10.5","-9.4","0.0","13608"
"Adam Jones","Diamondbacks","137","528","16","66","67","2","5.9 %","19.1 %",".155",".296",".260",".313",".414",".308","87","-2.1","-10.9","-6.7","-0.1","6368"
"Miguel Cabrera","Tigers","136","553","12","42","59","0","8.9 %","19.5 %",".115",".339",".284",".349",".399",".321","98","-6.3","-7.9","-13.9","-0.2","1744"
"Albert Pujols","Angels","131","545","23","55","93","3","7.9 %","12.5 %",".185",".238",".244",".305",".430",".308","93","-4.5","-9.3","-14.2","-0.4","1177"
"Orlando Arcia","Brewers","152","546","15","51","59","8","7.9 %","20.0 %",".128",".253",".223",".283",".350",".269","61","0.8","-27.3","5.4","-0.4","13185"
"Eric Hosmer","Padres","160","667","22","72","99","0","6.0 %","24.4 %",".160",".323",".265",".310",".425",".309","91","-5.4","-13.2","-13.0","-0.5","3516"
"Khris Davis","Athletics","133","538","23","61","73","0","8.7 %","27.3 %",".165",".261",".218",".290",".383",".286","79","-1.9","-16.2","-13.5","-1.0","9112"
